City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,20.62,88,86,7.81,PN,1727315510
1,sultanpur,26.2667,82.0667,25.45,87,100,4.98,IN,1727315511
2,nemuro,43.3236,145.575,16.82,84,100,5.68,JP,1727315512
3,iqaluit,63.7506,-68.5145,5.85,81,75,1.03,CA,1727315514
4,urambo,-5.0667,32.05,20.87,49,72,1.53,TZ,1727315515
5,fale old settlement,-9.3852,-171.2468,28.38,73,95,3.98,TK,1727315516
6,ancud,-41.8697,-73.8203,5.13,77,88,2.29,CL,1727315320
7,thompson,55.7435,-97.8558,16.09,82,75,2.06,CA,1727315518
8,port-aux-francais,-49.35,70.2167,3.17,71,62,12.33,TF,1727315519
9,rochester,43.1548,-77.6156,19.69,87,75,3.09,US,1727315402
10,kavaratti,10.5669,72.642,27.57,83,100,7.84,IN,1727315522
11,buka,40.8108,69.1986,20.98,33,100,3.17,UZ,1727315523
12,puerto natales,-51.7236,-72.4875,4.28,90,100,6.79,CL,1727315524
13,ushuaia,-54.8,-68.3,1.81,87,100,8.23,AR,1727315364
14,berdigestyakh,62.0989,126.6992,12.57,60,55,4.02,RU,1727315526
15,port lincoln,-34.7333,135.8667,13.09,54,6,5.51,AU,1727315527
16,yonggwang-up,40.0183,127.4547,20.8,62,11,2.33,KP,1727315528
17,lihue,21.9789,-159.3672,27.77,71,20,4.63,US,1727315530
18,tolanaro,-25.0319,46.9987,23.04,88,20,5.14,MG,1727315531
19,hithadhoo,-0.6,73.0833,28.24,75,72,5.94,MV,1727315532
20,albany,42.6001,-73.9662,14.24,79,100,1.79,US,1727315295
21,trondheim,63.4305,10.3951,4.44,95,100,0.89,NO,1727315534
22,ribeira grande,38.5167,-28.7,20.43,82,87,2.68,PT,1727315535
23,nagqu,31.5,92.0,5.13,33,0,1.21,CN,1727315536
24,zaysan,47.4667,84.8667,7.77,41,100,1.34,KZ,1727315537
25,san luis de la loma,17.2706,-100.8939,24.52,97,100,12.38,MX,1727315538
26,batouri,4.4333,14.3667,19.37,99,79,1.32,CM,1727315539
27,mossel bay,-34.1831,22.146,12.96,82,96,5.02,ZA,1727315540
28,grytviken,-54.2811,-36.5092,-1.73,88,33,5.26,GS,1727315541
29,coquimbo,-29.9533,-71.3436,13.85,76,0,1.03,CL,1727315391
30,beloyarskiy,63.7119,66.6722,-0.33,76,100,1.79,RU,1727315543
31,waitangi,-43.9535,-176.5597,11.01,67,90,1.79,NZ,1727315544
32,papatowai,-46.5619,169.4708,7.08,88,100,5.3,NZ,1727315545
33,flin flon,54.7682,-101.865,18.71,61,89,7.19,CA,1727315547
34,ulladulla,-35.35,150.4667,9.91,86,100,7.04,AU,1727315548
35,east london,-33.0153,27.9116,18.69,80,91,4.07,ZA,1727315549
36,ilha de mocambique,-15.0342,40.7358,22.02,87,0,3.21,MZ,1727315550
37,hawaiian paradise park,19.5933,-154.9731,27.71,77,100,3.6,US,1727315551
38,edinburgh of the seven seas,-37.0676,-12.3116,13.89,85,100,8.34,SH,1727315552
39,portland,45.5234,-122.6762,16.96,93,54,2.68,US,1727315520
40,wailua homesteads,22.0669,-159.378,27.44,75,20,4.63,US,1727315554
41,geraldton,-28.7667,114.6,25.23,44,0,5.14,AU,1727315555
42,port elizabeth,-33.918,25.5701,15.16,95,75,11.83,ZA,1727315556
43,qaqortoq,60.7167,-46.0333,3.48,95,13,0.86,GL,1727315558
44,bunia,1.5667,30.25,16.37,95,49,1.48,CD,1727315559
45,hargeysa,9.56,44.065,22.2,52,68,10.55,SO,1727315560
46,igarka,67.4667,86.5833,1.46,99,100,2.89,RU,1727315562
47,hirara,24.8,125.2833,30.92,84,75,7.72,JP,1727315563
48,invercargill,-46.4,168.35,7.79,89,100,2.68,NZ,1727315442
49,vadso,70.0744,29.7487,9.09,93,75,4.63,NO,1727315565
50,midvagur,62.0511,-7.1939,6.46,81,75,4.12,FO,1727315566
51,jamestown,42.097,-79.2353,18.9,91,100,3.09,US,1727315567
52,olonkinbyen,70.9221,-8.7187,-0.15,77,100,6.27,SJ,1727315568
53,khandyga,62.6667,135.6,10.26,49,26,1.93,RU,1727315569
54,kostomuksha,64.571,30.5767,12.04,81,94,6.71,RU,1727315570
55,longyearbyen,78.2186,15.6401,1.91,75,75,9.26,SJ,1727315571
56,talnakh,69.4865,88.3972,1.34,85,82,1.49,RU,1727315572
57,holualoa,19.6228,-155.9522,24.9,89,30,2.72,US,1727315555
58,kailua-kona,19.6406,-155.9956,26.97,90,30,0.45,US,1727315574
59,sitka,57.0531,-135.33,12.94,62,40,2.57,US,1727315575
60,bandon,51.7469,-8.7425,9.77,93,100,6.02,IE,1727315576
61,portage la prairie,49.9728,-98.2926,22.16,45,0,4.21,CA,1727315577
62,san patricio,28.017,-97.5169,25.97,58,97,1.67,US,1727315578
63,new norfolk,-42.7826,147.0587,13.73,46,99,3.83,AU,1727315580
64,mary,37.0,62.5,20.86,55,0,2.91,TM,1727315581
65,stanley,54.868,-1.6985,10.16,97,100,6.17,GB,1727315483
66,maicao,11.3832,-72.2432,27.21,82,100,0.98,CO,1727315584
67,rio rancho,35.2334,-106.6645,26.86,27,0,0.89,US,1727315585
68,slave lake,55.2834,-114.769,14.99,72,75,7.2,CA,1727315586
69,la passe,45.5549,-0.8967,19.22,88,100,10.72,FR,1727315587
70,georgetown,5.4112,100.3354,27.96,82,20,1.54,MY,1727314920
71,brazzaville,-4.2658,15.2832,26.17,83,100,0.0,CG,1727315590
72,bethel,41.3712,-73.414,16.63,86,100,0.0,US,1727315557
73,college,64.8569,-147.8028,7.82,81,75,1.54,US,1727315592
74,praia da vitoria,38.7333,-27.0667,21.14,83,40,4.69,PT,1727315594
75,nar'yan-mar,67.6713,53.087,5.21,93,100,6.02,RU,1727315595
76,ketchikan,55.3422,-131.6461,12.26,76,75,5.14,US,1727315596
77,suyo,16.9762,120.5254,29.2,65,93,1.89,PH,1727315597
78,tiksi,71.6872,128.8694,2.11,91,74,4.0,RU,1727315598
79,lima,-12.0432,-77.0282,16.14,85,100,3.09,PE,1727315069
80,hasaki,35.7333,140.8333,23.95,86,99,8.33,JP,1727315600
81,fisterra,42.9049,-9.2629,17.84,100,100,8.09,ES,1727315602
82,bilibino,68.0546,166.4372,-1.08,80,100,1.97,RU,1727315559
83,sai kung,22.3822,114.2728,30.72,80,88,1.79,CN,1727315604
84,sinan,34.8262,126.1086,22.74,74,68,0.65,KR,1727315606
85,bardai,11.65,7.2333,22.55,82,38,2.51,NG,1727315607
86,tofol,5.3248,163.0078,31.88,62,75,2.57,FM,1727315608
87,marechal candido rondon,-24.5561,-54.0567,28.3,28,26,2.59,BR,1727315609
88,pointe aux piments,-20.0628,57.5131,20.85,84,68,6.91,MU,1727315610
89,cabo san lucas,22.8909,-109.9124,25.14,78,0,6.45,MX,1727315482
90,port mathurin,-19.6833,63.4167,22.3,75,67,9.26,MU,1727315612
91,zouerate,22.7187,-12.4521,30.14,37,100,1.46,MR,1727315613
92,port alfred,-33.5906,26.891,18.43,93,100,0.89,ZA,1727315614
93,yaren,-0.5472,166.916,28.28,69,5,0.97,NR,1727315615
94,yellowknife,62.456,-114.3525,10.23,100,75,6.17,CA,1727315617
95,mount pearl,47.5166,-52.7813,10.64,93,100,3.6,CA,1727315396
96,al bayda',32.7627,21.7551,17.99,90,11,2.41,LY,1727315619
97,blackmans bay,-43.0167,147.3167,13.07,51,100,2.24,AU,1727315620
98,greymouth,-42.4667,171.2,11.02,96,100,8.1,NZ,1727315621
99,utrik,11.2278,169.8474,28.64,75,7,4.25,MH,1727315622
100,margaret river,-33.95,115.0667,17.6,56,2,3.94,AU,1727315623
101,sao vicente,-23.9631,-46.3919,20.55,26,0,2.26,BR,1727315625
102,labytnangi,66.6572,66.4183,-1.68,77,99,1.53,RU,1727315626
103,tateyama,34.9833,139.8667,25.14,78,38,4.84,JP,1727315628
104,tralee,52.2704,-9.7026,9.52,95,100,5.19,IE,1727315629
105,mora,11.0461,14.1401,25.1,70,80,1.77,CM,1727315630
106,mareeba,-17.0,145.4333,29.58,58,74,3.07,AU,1727315631
107,mili,6.0815,171.735,28.96,67,19,2.85,MH,1727315632
108,bazarnyye mataki,54.8833,49.9333,7.65,46,7,3.39,RU,1727315599
109,nantucket,41.2835,-70.0995,15.08,88,0,3.6,US,1727315591
110,gallipoli,40.4103,26.6708,20.53,72,76,3.51,TR,1727315636
111,sittwe,20.15,92.9,27.49,85,90,4.59,MM,1727315628
112,ust-nera,64.5667,143.2,4.56,73,17,3.56,RU,1727315640
113,veinticinco de mayo,-35.4323,-60.1727,11.66,68,1,3.58,AR,1727315502
114,puerto ayora,-0.7393,-90.3518,19.19,97,94,3.63,EC,1727315642
115,ilomantsi,62.6716,30.9328,13.6,76,100,5.28,FI,1727315643
116,saipan,15.1355,145.701,31.39,74,40,3.6,MP,1727315644
117,cidade velha,14.9167,-23.6167,26.26,83,75,1.03,CV,1727315645
118,luwuk,-0.9516,122.7875,28.67,63,100,2.53,ID,1727315646
119,avarua,-21.2078,-159.775,24.03,73,75,2.06,CK,1727315647
120,kisangani,0.5167,25.2,20.55,91,100,0.98,CD,1727315648
121,gadzhiyevo,69.2551,33.3362,12.2,86,100,9.58,RU,1727315649
122,acapulco de juarez,16.8634,-99.8901,22.1,95,100,6.85,MX,1727315587
123,awjilah,29.1081,21.2869,24.35,73,0,7.16,LY,1727315652
124,pacific grove,36.6177,-121.9166,17.06,88,75,5.14,US,1727315653
125,punta arenas,-53.15,-70.9167,4.06,87,75,12.86,CL,1727315511
